"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.169943560E-1	-5.289474502E-3	-2.933740616E-3	-7.034301758E-3	9.277218103E-3
3.220180020E-1	-9.939943440E-3	-2.949178219E-3	2.506256104E-3	1.066683868E-2
3.270416480E-1	9.095984511E-3	1.799553633E-3	-2.246856689E-3	9.540633757E-3
3.320652940E-1	8.870891295E-3	1.118573546E-2	7.216453552E-3	1.599658064E-2
3.370889910E-1	-1.010483038E-2	-3.200948238E-3	-1.175594330E-2	1.582895667E-2
3.421126890E-1	-5.436977372E-4	-3.110706806E-3	2.574920654E-3	4.074594512E-3
3.471363870E-1	4.152957350E-3	-7.792145014E-3	-6.898880005E-3	1.120531677E-2
3.521600850E-1	8.833144791E-3	-2.967864275E-3	-2.076148987E-3	9.546887444E-3
3.571837830E-1	-1.020406187E-2	1.731455326E-3	2.675056458E-3	1.069003008E-2
3.622074810E-1	4.132258706E-3	6.362050772E-3	7.358551025E-3	1.056879961E-2
3.672311790E-1	4.097132012E-3	6.153047085E-3	-6.909370422E-3	1.011859075E-2
3.722548770E-1	-6.082030013E-4	6.053060293E-3	2.634048462E-3	6.629303214E-3
3.772785750E-1	8.872092701E-3	1.127481461E-3	7.323265076E-3	1.155921514E-2
3.823022730E-1	-6.765956059E-4	5.876541138E-3	2.495765686E-3	6.420308693E-3
3.873259710E-1	4.028989002E-3	5.731582642E-3	-1.643753052E-2	1.786830158E-2
3.923496690E-1	8.724133484E-3	9.158253670E-4	2.688407898E-3	9.174790361E-3
3.973733660E-1	8.632604033E-3	1.029324532E-2	-2.072334290E-3	1.359291436E-2
4.023970640E-1	3.815895878E-3	-4.090517759E-3	2.683639526E-3	6.204459525E-3
4.074207620E-1	-9.375968948E-4	5.355536938E-3	-2.077102661E-3	5.820242202E-3
4.124444600E-1	-5.684149452E-3	-4.236727953E-3	7.410049438E-3	1.025515731E-2
4.174681580E-1	3.871820867E-3	-4.247635603E-3	2.587318420E-3	6.302985138E-3
4.224918560E-1	3.795790486E-3	9.934097528E-3	-1.636695862E-2	1.951849517E-2
4.275155540E-1	3.826200031E-3	-4.396140575E-3	1.695728302E-2	1.793084789E-2
4.325392520E-1	-9.267535061E-4	-4.302293062E-3	1.674938202E-2	1.731792123E-2
4.375629500E-1	-5.623997189E-3	-4.210144281E-3	-7.119178772E-3	1.000186811E-2
4.425866480E-1	-8.507724851E-4	-4.172176123E-3	-2.300262451E-3	4.839635809E-3
4.476103460E-1	1.333536301E-2	-4.135251045E-3	1.193046570E-2	1.836486372E-2
4.526340440E-1	-1.000609249E-3	-4.099339247E-3	-2.413749695E-3	4.861274392E-3
4.576577410E-1	-1.048854832E-2	5.407392979E-3	-7.122039795E-3	1.378306916E-2
4.626814390E-1	3.812517971E-3	5.972683430E-4	7.168769836E-3	8.141454644E-3
4.677051370E-1	3.742011264E-3	-4.158735275E-3	-2.386093140E-3	6.082036490E-3
4.727288350E-1	-1.064963639E-3	5.605220795E-4	-7.095336914E-3	7.196675516E-3
4.777525330E-1	-5.766717717E-3	-8.986920118E-3	-2.276420593E-3	1.091796030E-2
4.827762310E-1	-9.928327054E-4	5.763173103E-4	-6.990432739E-3	7.084067215E-3
4.877999290E-1	3.675645217E-3	-8.973389864E-3	-2.173423767E-3	9.937598517E-3
4.928236270E-1	3.556312993E-3	5.277305841E-3	-2.148628235E-3	6.716689835E-3
4.978473250E-1	3.542323597E-3	-4.323989153E-3	1.209735870E-2	1.332632831E-2
5.028710230E-1	8.272760548E-3	-9.032219648E-3	2.489089966E-3	1.249860503E-2
5.078947210E-1	8.212342858E-3	-4.157185555E-3	-1.176261902E-2	1.493599589E-2
5.129184190E-1	-1.332142390E-3	-4.126876593E-3	2.583503723E-3	5.047792116E-3
5.179421160E-1	-1.346386038E-3	5.400478840E-4	-2.182006836E-3	2.620221539E-3
5.229658140E-1	-6.051093340E-3	-8.963614702E-3	7.325172424E-3	1.306216943E-2
5.279895120E-1	-1.276783645E-3	-4.143506289E-3	-6.978034973E-3	8.215338881E-3
5.330132100E-1	-1.291974448E-3	-4.167646170E-3	2.579689026E-3	5.068852734E-3
5.380369080E-1	-1.079602819E-2	5.524754524E-4	-2.187728882E-3	1.102930693E-2
5.430606060E-1	-5.921024829E-3	5.227208138E-3	-1.639938354E-2	1.820225317E-2
5.480843040E-1	3.702095710E-3	3.673434258E-4	2.738952637E-3	4.619774387E-3
5.531080020E-1	-1.107727177E-3	3.517568111E-4	2.713203430E-3	2.951654656E-3
5.581317000E-1	8.472495712E-3	-4.409909248E-3	-6.804466248E-3	1.172737158E-2
5.631553980E-1	3.619727679E-3	3.653168678E-4	7.498741150E-3	8.334686780E-3
5.681790960E-1	8.359841071E-3	9.843736887E-3	-6.811141968E-3	1.460060799E-2
5.732027940E-1	3.456085920E-3	2.472400665E-4	2.745628357E-3	4.420874644E-3
5.782264910E-1	-1.350575127E-3	4.927992821E-3	2.722740173E-3	5.789860142E-3
5.832501890E-1	3.434568644E-3	7.098913193E-5	7.449150085E-3	8.203117591E-3
5.882738870E-1	-1.081659645E-2	-4.690408707E-3	-2.113342285E-3	1.197768376E-2
5.932975850E-1	-6.000518799E-3	-4.661470652E-3	-1.634120941E-2	1.802139449E-2
5.983212830E-1	-1.174134202E-3	-9.382396936E-3	-1.951217651E-3	9.654802625E-3
6.033449810E-1	8.306137286E-3	-4.616677761E-3	-1.932144165E-3	9.697361045E-3
6.083686790E-1	8.260058239E-3	-9.339392185E-3	-1.616573334E-2	2.041528209E-2
6.133923250E-1	-1.339820214E-3	1.756548882E-4	-1.775741577E-3	2.231419054E-3
6.184159710E-1	3.445628099E-3	-9.339332581E-3	1.249122620E-2	1.597267097E-2
6.234396160E-1	-6.112898700E-3	-9.273707867E-3	-1.611900330E-2	1.957527664E-2
6.284632620E-1	-6.038463674E-3	-9.208559990E-3	3.018379211E-3	1.141802232E-2
6.334869080E-1	3.486174159E-3	3.580152988E-4	-1.757621765E-3	3.920563670E-3
6.385105540E-1	8.180407807E-3	3.428161144E-4	-1.743316650E-3	8.371125834E-3
6.435342000E-1	8.137154393E-3	3.277659416E-4	-6.480216980E-3	1.040739757E-2
6.485578460E-1	3.291986883E-3	2.601146698E-4	3.077507019E-3	4.513965743E-3
6.535814910E-1	3.289470449E-3	1.930892467E-4	7.804870605E-3	8.471948091E-3
6.586051370E-1	-1.101878565E-2	4.930317402E-3	-1.761436462E-3	1.219935758E-2
6.636287830E-1	-1.505309716E-3	-4.677712917E-3	-6.496429443E-3	8.145584754E-3
6.686524290E-1	3.229097463E-3	-1.410025358E-2	3.058433533E-3	1.478506805E-2
6.736760750E-1	-1.525349915E-3	2.581775188E-4	-1.121997833E-2	1.132613181E-2
6.786997210E-1	-6.240176968E-3	-4.559814930E-3	-1.112461090E-2	1.354579966E-2
6.837233660E-1	-1.413648948E-3	1.644194126E-4	1.747608185E-2	1.753393492E-2
6.887470120E-1	-6.127983332E-3	-1.415491104E-2	-1.670837402E-3	1.551468285E-2
6.937706580E-1	-1.353630796E-3	1.512467861E-4	-1.115798950E-2	1.124081499E-2
6.987943040E-1	-6.121129729E-3	-4.613250494E-3	-1.562118530E-3	7.822437189E-3
7.038179500E-1	3.402775154E-3	-4.639625549E-3	7.954597473E-3	9.817363442E-3
7.088415960E-1	-1.090642530E-2	9.639948606E-3	-2.061748505E-2	2.523805483E-2
7.138652410E-1	-1.288555562E-3	-4.705697298E-3	-1.094436646E-2	1.198261739E-2
7.188888870E-1	3.445468843E-3	7.236003876E-5	-1.350402832E-3	3.701361821E-3
7.239125330E-1	-1.360598020E-3	5.948543549E-5	8.162498474E-3	8.275333639E-3
7.289361790E-1	-1.563010365E-2	-4.756927490E-3	8.096694946E-3	1.823417035E-2
7.339598250E-1	3.475107253E-3	-3.105401993E-5	1.753330231E-2	1.787439578E-2
7.389834710E-1	3.471065313E-3	-1.483261585E-4	3.136634827E-3	4.680680836E-3
7.440071160E-1	-1.083870418E-2	4.539072514E-3	-1.589107513E-2	1.976377890E-2
7.490307620E-1	-6.026520394E-3	-5.065649748E-3	7.998466492E-3	1.122297740E-2
7.540544080E-1	8.301716298E-3	-4.982978106E-3	3.179550171E-3	1.019107961E-2
7.590780540E-1	-5.995644256E-3	-5.006313324E-3	-1.109790802E-2	1.357109007E-2
7.641017000E-1	3.527213819E-3	-2.783834934E-4	-1.501083374E-3	3.843434141E-3
7.691253460E-1	3.468648531E-3	4.462838173E-3	8.012771606E-3	9.805761368E-3
7.741489910E-1	-1.235133037E-3	9.164541960E-3	-1.555442810E-3	9.377301599E-3
7.791726370E-1	-1.147258095E-3	-5.124479532E-3	7.958412170E-3	9.534821230E-3
7.841962830E-1	-1.112778671E-3	-9.897649288E-3	3.142356873E-3	1.044395253E-2
7.892199290E-1	-1.131251454E-3	1.392778754E-2	7.867813110E-3	1.603637985E-2
7.942435750E-1	3.706791438E-3	-1.000830531E-2	-6.448745728E-3	1.246967519E-2
7.992672210E-1	-5.799818784E-3	4.263252020E-3	-6.393432617E-3	9.627522856E-3
8.042908660E-1	3.775496967E-3	-5.339235067E-3	1.266574860E-2	1.425422730E-2
8.093145120E-1	-1.034743153E-3	-5.359619856E-3	3.059387207E-3	6.257481001E-3
8.143381580E-1	3.697166219E-3	4.122257233E-3	3.035545349E-3	6.314790441E-3
8.193618040E-1	-1.112421043E-3	4.023045301E-3	-1.738548279E-3	4.521606373E-3
8.243854500E-1	3.566043451E-3	3.977388144E-3	-6.475448608E-3	8.394505168E-3
8.294090960E-1	-5.993483588E-3	3.879368305E-3	3.082275391E-3	7.776359402E-3
8.344327940E-1	-5.969854072E-3	8.585810661E-3	1.255893707E-2	1.634264981E-2
8.394564910E-1	3.606880084E-3	3.751009703E-3	1.245403290E-2	1.349750322E-2
8.444801890E-1	3.549077548E-3	-9.908378124E-4	-1.140594482E-2	1.198637928E-2
8.495038870E-1	3.491756506E-3	3.756254911E-3	-6.559371948E-3	8.326294183E-3
8.545275850E-1	3.487578593E-3	3.712743521E-3	-1.753807068E-3	5.387347040E-3
8.595512830E-1	-6.018629298E-3	-1.528185606E-2	1.251316071E-2	2.064795908E-2
8.645749810E-1	3.558510914E-3	3.784745932E-3	-1.609516144E-2	1.691276215E-2
8.695986790E-1	-1.197255217E-3	3.688335419E-3	-1.706123352E-3	4.236519221E-3
8.746223770E-1	-1.536278892E-2	3.592729568E-3	3.060340881E-3	1.607136197E-2
8.796460750E-1	-5.707778968E-3	-1.075515151E-2	7.787704468E-3	1.445338596E-2
8.846697730E-1	-5.687958561E-3	-1.175671816E-3	-1.778602600E-3	6.074413883E-3
8.896934710E-1	3.832330927E-3	3.573030233E-3	-1.763343811E-3	5.528352990E-3
8.947171690E-1	8.577778004E-3	-5.971074104E-3	-1.749038696E-3	1.059675129E-2
8.997408660E-1	3.780185245E-3	-1.235157251E-3	3.017425537E-3	4.992020712E-3
9.047645640E-1	-1.030093059E-3	-6.040781736E-3	7.745742798E-3	9.876672880E-3
9.097882620E-1	8.452811278E-3	-1.251608133E-3	2.929687500E-3	9.033250261E-3
9.148119600E-1	3.708926030E-3	3.444999456E-3	-1.843452454E-3	5.387250736E-3
9.198356580E-1	-1.048092730E-3	-1.090165973E-2	1.242733002E-2	1.656451673E-2
9.248593560E-1	-1.067102887E-3	-1.426309347E-3	2.823829651E-3	3.338724430E-3
9.298830540E-1	-1.033289358E-3	3.324419260E-3	-1.145267487E-2	1.197009657E-2
9.349067520E-1	-9.997570887E-4	-1.096856594E-2	1.239871979E-2	1.658424570E-2
9.399304500E-1	8.482893929E-3	3.311038017E-3	7.546424866E-3	1.182670666E-2
9.449541480E-1	-5.868638866E-3	-6.283491850E-3	-6.767272949E-3	1.094162580E-2
9.499778460E-1	3.705821000E-3	3.258794546E-3	-6.711006165E-3	8.330093332E-3
9.550015440E-1	3.647194244E-3	7.970482111E-3	7.597923279E-3	1.159995901E-2
9.600252410E-1	3.641723655E-3	-6.308585405E-3	-6.719589233E-3	9.910261372E-3
9.650489390E-1	-1.220067032E-3	-6.320893764E-3	-1.910209656E-3	6.714995344E-3
9.700726370E-1	-1.290310174E-3	1.272371411E-2	7.607460022E-3	1.488056616E-2
9.750963350E-1	-1.256067306E-3	-1.647561789E-3	7.544517517E-3	7.823804029E-3
9.801200330E-1	-1.274777576E-3	3.105044365E-3	-2.019882202E-3	3.917433150E-3
9.851437310E-1	-6.042930298E-3	-1.118612289E-2	-6.753921509E-3	1.439659014E-2
9.901674290E-1	3.534414805E-3	-1.550406218E-3	1.230621338E-2	1.289723750E-2
9.951911270E-1	-5.918081850E-3	3.148615360E-3	-1.154994965E-2	1.335435541E-2
1.000214825E0	-1.094242558E-3	-1.693457365E-3	2.800941467E-3	3.451150203E-3
1.005238523E0	3.690830432E-3	-6.389915943E-3	7.528305054E-3	1.054175659E-2
1.010262221E0	-5.869735032E-3	3.100544214E-3	-2.034187317E-3	6.942987960E-3
1.015285919E0	-1.060103066E-2	-6.439507008E-3	-1.151943207E-2	1.692768197E-2
1.020309616E0	-5.789400078E-3	-6.450712681E-3	-1.918792725E-3	8.877534167E-3
1.025333314E0	3.839930519E-3	-6.409227848E-3	2.847671509E-3	7.995780201E-3
1.030357012E0	-9.708451107E-4	-1.117169857E-2	-1.924514771E-3	1.137774786E-2
1.035380710E0	-9.904988110E-4	-1.588761806E-3	-1.616191864E-2	1.626999896E-2
1.040404408E0	3.739611246E-3	-1.640319824E-3	7.729530334E-3	8.741909436E-3
1.045428106E0	-5.874026567E-3	-6.389886141E-3	-1.836776733E-3	8.871785715E-3
1.050451804E0	3.647812642E-3	-1.597732306E-3	-1.821517944E-3	4.379179514E-3
1.055475502E0	-1.161362045E-3	-6.347656250E-3	2.943992615E-3	7.092855150E-3
1.060499200E0	-1.126761548E-3	-6.306976080E-3	2.919197083E-3	7.040543336E-3
1.065522898E0	-5.896149203E-3	-1.576867700E-2	-1.610851288E-2	2.330021323E-2
1.070546596E0	-5.876190029E-3	3.302037716E-3	-6.470680237E-3	9.343594868E-3
1.075570294E0	3.647099249E-3	-1.541376114E-3	1.258945465E-2	1.319740663E-2
1.080593991E0	1.314512640E-2	-1.540809870E-3	-1.768112183E-3	1.335270249E-2
1.085617689E0	-1.194024459E-3	-6.291151047E-3	-1.753807068E-3	6.639285740E-3
1.090641387E0	-1.265916042E-3	-6.303548813E-3	-1.737594604E-3	6.660068023E-3
